lot_number,item_description
LBL104143,BatchB
LBL104144,BatchA
LBL104145,BatchA
LBL104146,BatchC
LBL104147,BatchA
LBL104148,BatchB
LBL104149,BatchA
LBL104150,BatchA
LBL104151,BatchC
LBL104152,BatchB
LBL104153,BatchC
LBL104154,BatchC
LBL104155,BatchC
LBL104156,BatchC
LBL104157,BatchA
LBL104158,BatchA
LBL104159,BatchC
LBL104160,BatchB
LBL104161,BatchC
LBL104162,BatchC
LBL104163,BatchB
LBL104164,BatchB
LBL104165,BatchA
LBL104166,BatchB
LBL104167,BatchC
LBL104168,BatchA
LBL104169,BatchC
LBL104170,BatchA
LBL104171,BatchB
LBL104172,BatchC
LBL104173,BatchC
LBL104174,BatchA
LBL104175,BatchB
LBL104176,BatchB
LBL104177,BatchA
LBL104178,BatchB
LBL104179,BatchB
LBL104180,BatchC
LBL104181,BatchA
LBL104182,BatchC
LBL104183,BatchA
LBL104184,BatchA
LBL104185,BatchC
LBL104186,BatchA
LBL104187,BatchC
LBL104188,BatchB
LBL104189,BatchC
LBL104190,BatchC
LBL104191,BatchA
LBL104192,BatchC
LBL104193,BatchA
LBL104194,BatchA
LBL104195,BatchC
LBL104196,BatchC
LBL104197,BatchA
LBL104198,BatchC
LBL104199,BatchB
LBL104200,BatchC
LBL104201,BatchA
LBL104202,BatchC
LBL104203,BatchC
LBL104204,BatchC
LBL104205,BatchA
LBL104206,BatchB
LBL104207,BatchC
LBL104208,BatchC
LBL104209,BatchC
LBL104210,BatchC
LBL104211,BatchB
LBL104212,BatchC
LBL104213,BatchB
LBL104214,BatchA
LBL104215,BatchC
LBL104216,BatchB
LBL104217,BatchA
LBL104218,BatchC
LBL104219,BatchA
LBL104220,BatchB
LBL104221,BatchA
LBL104222,BatchB
LBL104223,BatchA
LBL104224,BatchA
LBL104225,BatchA
LBL104226,BatchC
LBL104227,BatchB
LBL104228,BatchC
LBL104229,BatchA
LBL104230,BatchB
LBL104231,BatchB
LBL104232,BatchA
LBL104233,BatchB
LBL104234,BatchC
LBL104235,BatchA
LBL104236,BatchB
LBL104237,BatchA
LBL104238,BatchA
LBL104239,BatchB
LBL104240,BatchB
LBL104241,BatchC
LBL104242,BatchC
LBL104243,BatchC
LBL104244,BatchC
LBL104245,BatchA
LBL104246,BatchC
LBL104247,BatchA
LBL104248,BatchA
LBL104249,BatchB
LBL104250,BatchA
LBL104251,BatchA
LBL104252,BatchA
LBL104253,BatchA
LBL104254,BatchB
LBL104255,BatchA
LBL104256,BatchC
LBL104257,BatchB
LBL104258,BatchC
LBL104259,BatchC
LBL104260,BatchC
LBL104261,BatchA
LBL104262,BatchA
LBL104263,BatchA
LBL104264,BatchC
LBL104265,BatchA
LBL104266,BatchC
LBL104267,BatchA
LBL104268,BatchC
LBL104269,BatchC
LBL104270,BatchC
LBL104271,BatchB
LBL104272,BatchB
LBL104273,BatchB
LBL104274,BatchC
LBL104275,BatchB
LBL104276,BatchB
LBL104277,BatchC
LBL104278,BatchC
LBL104279,BatchC
LBL104280,BatchC
LBL104281,BatchA
LBL104282,BatchA
LBL104283,BatchB
LBL104284,BatchA
LBL104285,BatchB
LBL104286,BatchB
LBL104287,BatchB
LBL104288,BatchA
LBL104289,BatchC
LBL104290,BatchA
LBL104291,BatchA
LBL104292,BatchC
LBL104293,BatchB
LBL104294,BatchA
LBL104295,BatchB
LBL104296,BatchB
LBL104297,BatchA
LBL104298,BatchA
LBL104299,BatchC
LBL104300,BatchB
LBL104301,BatchA
LBL104302,BatchC
LBL104303,BatchB
LBL104304,BatchA
LBL104305,BatchA
LBL104306,BatchB
LBL104307,BatchC
LBL104308,BatchB
LBL104309,BatchB
LBL104310,BatchB
LBL104311,BatchC
LBL104312,BatchA
LBL104313,BatchA
LBL104314,BatchB
LBL104315,BatchC
LBL104316,BatchA
LBL104317,BatchC
LBL104318,BatchB
LBL104319,BatchC
LBL104320,BatchA
LBL104321,BatchA
LBL104322,BatchB
LBL104323,BatchB
LBL104324,BatchA
LBL104325,BatchB
LBL104326,BatchB
LBL104327,BatchB
LBL104328,BatchB
LBL104329,BatchC
LBL104330,BatchA
LBL104331,BatchA
LBL104332,BatchC
LBL104333,BatchB
LBL104334,BatchB
LBL104335,BatchA
LBL104336,BatchA
LBL104337,BatchB
LBL104338,BatchA
LBL104339,BatchC
LBL104340,BatchA
LBL104341,BatchA
LBL104342,BatchA
LBL104343,BatchB
LBL104344,BatchB
LBL104345,BatchA
LBL104346,BatchB
LBL104347,BatchB
LBL104348,BatchA
LBL104349,BatchB
LBL104350,BatchC
LBL104351,BatchC
LBL104352,BatchA
LBL104353,BatchB
LBL104354,BatchA
LBL104355,BatchA
LBL104356,BatchC
LBL104357,BatchC
LBL104358,BatchA
LBL104359,BatchA
LBL104360,BatchA
LBL104361,BatchA
LBL104362,BatchC
LBL104363,BatchC
LBL104364,BatchC
LBL104365,BatchC
LBL104366,BatchC
LBL104367,BatchA
LBL104368,BatchC
LBL104369,BatchB
LBL104370,BatchA
LBL104371,BatchA
LBL104372,BatchA
LBL104373,BatchB
LBL104374,BatchB
LBL104375,BatchB
LBL104376,BatchC
LBL104377,BatchB
LBL104378,BatchB
LBL104379,BatchB
LBL104380,BatchB
LBL104381,BatchA
LBL104382,BatchC
LBL104383,BatchB
LBL104384,BatchB
LBL104385,BatchC
LBL104386,BatchA
LBL104387,BatchA
LBL104388,BatchB
LBL104389,BatchB
LBL104390,BatchC
LBL104391,BatchC
LBL104392,BatchB
LBL104393,BatchA
LBL104394,BatchA
LBL104395,BatchA
LBL104396,BatchB
LBL104397,BatchC
LBL104398,BatchA
LBL104399,BatchA
LBL104400,BatchB
LBL104401,BatchC
LBL104402,BatchB
LBL104403,BatchA
LBL104404,BatchA
LBL104405,BatchB
LBL104406,BatchC
LBL104407,BatchA
LBL104408,BatchA
LBL104409,BatchA
LBL104410,BatchA
LBL104411,BatchA
LBL104412,BatchB
LBL104413,BatchB
LBL104414,BatchA
LBL104415,BatchC
LBL104416,BatchB
LBL104417,BatchC
LBL104418,BatchC
LBL104419,BatchC
LBL104420,BatchA
LBL104421,BatchA
LBL104422,BatchC
LBL104423,BatchB
LBL104424,BatchC
LBL104425,BatchB
LBL104426,BatchC
LBL104427,BatchA
LBL104428,BatchA
LBL104429,BatchC
LBL104430,BatchB
LBL104431,BatchB
LBL104432,BatchA
LBL104433,BatchB
LBL104434,BatchB
LBL104435,BatchC
LBL104436,BatchA
LBL104437,BatchA
LBL104438,BatchB
LBL104439,BatchC
LBL104440,BatchC
LBL104441,BatchC
LBL104442,BatchC
LBL104443,BatchB
LBL104444,BatchC
LBL104445,BatchA
LBL104446,BatchB
LBL104447,BatchC
LBL104448,BatchB
LBL104449,BatchC
LBL104450,BatchC
LBL104451,BatchB
LBL104452,BatchB
LBL104453,BatchA
LBL104454,BatchC
LBL104455,BatchC
LBL104456,BatchB
LBL104457,BatchB
LBL104458,BatchA
LBL104459,BatchA
LBL104460,BatchA
LBL104461,BatchC
LBL104462,BatchA
LBL104463,BatchA
LBL104464,BatchB
LBL104465,BatchC
LBL104466,BatchA
LBL104467,BatchB
LBL104468,BatchA
LBL104469,BatchB
LBL104470,BatchC
LBL104471,BatchA
LBL104472,BatchB
LBL104473,BatchC
LBL104474,BatchB
LBL104475,BatchB
LBL104476,BatchC
LBL104477,BatchB
LBL104478,BatchB
LBL104479,BatchA
LBL104480,BatchA
LBL104481,BatchB
LBL104482,BatchC
LBL104483,BatchA
LBL104484,BatchC
LBL104485,BatchB
LBL104486,BatchC
LBL104487,BatchB
LBL104488,BatchA
LBL104489,BatchC
LBL104490,BatchB
LBL104491,BatchC
LBL104492,BatchB
LBL104493,BatchC
LBL104494,BatchC
LBL104495,BatchA
LBL104496,BatchA
LBL104497,BatchC
LBL104498,BatchB
LBL104499,BatchC
LBL104500,BatchA
LBL104501,BatchA
LBL104502,BatchC
LBL104503,BatchC
LBL104504,BatchB
LBL104505,BatchA
LBL104506,BatchC
LBL104507,BatchB
LBL104508,BatchA
LBL104509,BatchA
LBL104510,BatchA
LBL104511,BatchC
LBL104512,BatchC
LBL104513,BatchC
LBL104514,BatchA
LBL104515,BatchA
LBL104516,BatchC
LBL104517,BatchB
LBL104518,BatchB
LBL104519,BatchA
LBL104520,BatchB
LBL104521,BatchC
LBL104522,BatchC
LBL104523,BatchA
LBL104524,BatchC
LBL104525,BatchC
LBL104526,BatchC
LBL104527,BatchC
LBL104528,BatchB
LBL104529,BatchA
LBL104530,BatchC
LBL104531,BatchC
LBL104532,BatchB
LBL104533,BatchB
LBL104534,BatchC
LBL104535,BatchC
LBL104536,BatchB
LBL104537,BatchA
LBL104538,BatchB
LBL104539,BatchC
LBL104540,BatchB
LBL104541,BatchC
LBL104542,BatchA
LBL104543,BatchA
LBL104544,BatchA
LBL104545,BatchB
LBL104546,BatchA
LBL104547,BatchC
LBL104548,BatchA
LBL104549,BatchB
LBL104550,BatchB
LBL104551,BatchB
LBL104552,BatchA
LBL104553,BatchA
LBL104554,BatchB
LBL104555,BatchB
LBL104556,BatchA
LBL104557,BatchC
LBL104558,BatchB
LBL104559,BatchC
LBL104560,BatchC
LBL104561,BatchB
LBL104562,BatchC
LBL104563,BatchC
LBL104564,BatchA
LBL104565,BatchB
LBL104566,BatchB
LBL104567,BatchC
LBL104568,BatchC
LBL104569,BatchB
LBL104570,BatchA
LBL104571,BatchC
LBL104572,BatchB
LBL104573,BatchA
LBL104574,BatchA
LBL104575,BatchC
LBL104576,BatchC
LBL104577,BatchB
LBL104578,BatchC
LBL104579,BatchB
LBL104580,BatchB
LBL104581,BatchC
LBL104582,BatchA
LBL104583,BatchB
LBL104584,BatchA
LBL104585,BatchB
LBL104586,BatchC
LBL104587,BatchA
LBL104588,BatchA
LBL104589,BatchA
LBL104590,BatchA
LBL104591,BatchC
LBL104592,BatchC
LBL104593,BatchB
LBL104594,BatchC
LBL104595,BatchC
LBL104596,BatchB
LBL104597,BatchA
LBL104598,BatchC
LBL104599,BatchA
LBL104600,BatchC
LBL104601,BatchA
LBL104602,BatchA
LBL104603,BatchA
LBL104604,BatchB
LBL104605,BatchC
LBL104606,BatchB
LBL104607,BatchA
LBL104608,BatchA
LBL104609,BatchC
LBL104610,BatchC
LBL104611,BatchA
LBL104612,BatchA
LBL104613,BatchA
LBL104614,BatchA
LBL104615,BatchB
LBL104616,BatchB
LBL104617,BatchB
LBL104618,BatchB
LBL104619,BatchC
LBL104620,BatchA
LBL104621,BatchB
LBL104622,BatchC
LBL104623,BatchB
LBL104624,BatchB
LBL104625,BatchA
LBL104626,BatchB
LBL104627,BatchB
LBL104628,BatchC
LBL104629,BatchC
LBL104630,BatchC
LBL104631,BatchB
LBL104632,BatchA
LBL104633,BatchA
LBL104634,BatchA
LBL104635,BatchB
LBL104636,BatchA
LBL104637,BatchC
LBL104638,BatchA
LBL104639,BatchC
LBL104640,BatchA
LBL104641,BatchA
LBL104642,BatchC
LBL104643,BatchC
LBL104644,BatchA
LBL104645,BatchB
LBL104646,BatchA
LBL104647,BatchB
LBL104648,BatchC
LBL104649,BatchC
LBL104650,BatchB
LBL104651,BatchB
LBL104652,BatchC
LBL104653,BatchC
LBL104654,BatchB
LBL104655,BatchB
LBL104656,BatchB
LBL104657,BatchC
LBL104658,BatchB
LBL104659,BatchC
LBL104660,BatchB
LBL104661,BatchB
LBL104662,BatchC
LBL104663,BatchC
LBL104664,BatchB
LBL104665,BatchC
LBL104666,BatchA
LBL104667,BatchA
LBL104668,BatchB
LBL104669,BatchA
LBL104670,BatchC
LBL104671,BatchA
LBL104672,BatchA
LBL104673,BatchC
LBL104674,BatchA
LBL104675,BatchA
LBL104676,BatchC
LBL104677,BatchC
LBL104678,BatchB
LBL104679,BatchB
LBL104680,BatchA
LBL104681,BatchA
LBL104682,BatchC
LBL104683,BatchA
LBL104684,BatchB
LBL104685,BatchB
LBL104686,BatchC
LBL104687,BatchC
LBL104688,BatchC
LBL104689,BatchC
LBL104690,BatchA
LBL104691,BatchB
LBL104692,BatchB
LBL104693,BatchA
LBL104694,BatchA
LBL104695,BatchB
LBL104696,BatchB
LBL104697,BatchC
LBL104698,BatchB
LBL104699,BatchA
LBL104700,BatchA
LBL104701,BatchC
LBL104702,BatchA
LBL104703,BatchA
LBL104704,BatchC
LBL104705,BatchB
LBL104706,BatchB
LBL104707,BatchA
LBL104708,BatchC
LBL104709,BatchB
LBL104710,BatchB
LBL104711,BatchB
LBL104712,BatchC
LBL104713,BatchA
LBL104714,BatchB
LBL104715,BatchB
LBL104716,BatchB
LBL104717,BatchC
LBL104718,BatchC
LBL104719,BatchA
LBL104720,BatchA
LBL104721,BatchB
LBL104722,BatchA
LBL104723,BatchC
LBL104724,BatchC
LBL104725,BatchB
LBL104726,BatchC
LBL104727,BatchA
LBL104728,BatchB
LBL104729,BatchC
LBL104730,BatchC
LBL104731,BatchA
LBL104732,BatchA
LBL104733,BatchC
LBL104734,BatchB
LBL104735,BatchA
LBL104736,BatchA
LBL104737,BatchB
LBL104738,BatchB
LBL104739,BatchB
LBL104740,BatchB
LBL104741,BatchB
LBL104742,BatchA
LBL104743,BatchB
LBL104744,BatchA
LBL104745,BatchC
LBL104746,BatchA
LBL104747,BatchB
LBL104748,BatchC
LBL104749,BatchB
LBL104750,BatchC
LBL104751,BatchC
LBL104752,BatchB
LBL104753,BatchA
LBL104754,BatchB
LBL104755,BatchC
LBL104756,BatchC
LBL104757,BatchA
LBL104758,BatchA
LBL104759,BatchB
LBL104760,BatchA
LBL104761,BatchA
LBL104762,BatchB
LBL104763,BatchB
LBL104764,BatchB
LBL104765,BatchB
LBL104766,BatchA
LBL104767,BatchA
LBL104768,BatchC
LBL104769,BatchA
LBL104770,BatchB
LBL104771,BatchA
LBL104772,BatchA
LBL104773,BatchB
LBL104774,BatchB
LBL104775,BatchA
LBL104776,BatchA
LBL104777,BatchB
LBL104778,BatchB
LBL104779,BatchB
LBL104780,BatchC
LBL104781,BatchA
LBL104782,BatchC
LBL104783,BatchB
LBL104784,BatchB
LBL104785,BatchB
LBL104786,BatchB
LBL104787,BatchA
LBL104788,BatchA
LBL104789,BatchC
LBL104790,BatchC
LBL104791,BatchA
LBL104792,BatchA
LBL104793,BatchC
LBL104794,BatchB
LBL104795,BatchC
LBL104796,BatchC
LBL104797,BatchB
LBL104798,BatchC
LBL104799,BatchA
LBL104800,BatchC
LBL104801,BatchA
LBL104802,BatchB
LBL104803,BatchA
LBL104804,BatchA
LBL104805,BatchA
LBL104806,BatchB
LBL104807,BatchA
LBL104808,BatchB
LBL104809,BatchC
LBL104810,BatchB
LBL104811,BatchA
LBL104812,BatchC
LBL104813,BatchC
LBL104814,BatchA
LBL104815,BatchB
LBL104816,BatchA
LBL104817,BatchC
LBL104818,BatchA
LBL104819,BatchB
LBL104820,BatchC
LBL104821,BatchC
LBL104822,BatchB
LBL104823,BatchA
LBL104824,BatchA
LBL104825,BatchC
LBL104826,BatchC
LBL104827,BatchC
LBL104828,BatchB
LBL104829,BatchA
LBL104830,BatchA
LBL104831,BatchC
LBL104832,BatchB
LBL104833,BatchB
LBL104834,BatchA
LBL104835,BatchA
LBL104836,BatchC
LBL104837,BatchA
LBL104838,BatchB
LBL104839,BatchC
LBL104840,BatchA
LBL104841,BatchA
LBL104842,BatchC
LBL104843,BatchA
LBL104844,BatchB
LBL104845,BatchC
LBL104846,BatchA
LBL104847,BatchC
LBL104848,BatchA
LBL104849,BatchC
LBL104850,BatchB
LBL104851,BatchC
LBL104852,BatchA
LBL104853,BatchB
LBL104854,BatchB
LBL104855,BatchA
LBL104856,BatchB
LBL104857,BatchC
LBL104858,BatchB
LBL104859,BatchC
LBL104860,BatchA
LBL104861,BatchB
LBL104862,BatchC
LBL104863,BatchC
LBL104864,BatchC
LBL104865,BatchB
LBL104866,BatchC
LBL104867,BatchC
LBL104868,BatchC
LBL104869,BatchC
LBL104870,BatchB
LBL104871,BatchB
LBL104872,BatchC
LBL104873,BatchA
LBL104874,BatchC
LBL104875,BatchA
LBL104876,BatchA
LBL104877,BatchB
LBL104878,BatchB
LBL104879,BatchA
LBL104880,BatchB
LBL104881,BatchA
LBL104882,BatchB
LBL104883,BatchC
LBL104884,BatchB
LBL104885,BatchC
LBL104886,BatchB
LBL104887,BatchA
LBL104888,BatchA
LBL104889,BatchC
LBL104890,BatchA
LBL104891,BatchA
LBL104892,BatchC
LBL104893,BatchB
LBL104894,BatchB
LBL104895,BatchA
LBL104896,BatchA
LBL104897,BatchB
LBL104898,BatchA
LBL104899,BatchC
LBL104900,BatchB
LBL104901,BatchC
LBL104902,BatchC
LBL104903,BatchC
LBL104904,BatchC
LBL104905,BatchB
LBL104906,BatchB
LBL104907,BatchB
LBL104908,BatchC
LBL104909,BatchC
LBL104910,BatchA
LBL104911,BatchC
LBL104912,BatchA
LBL104913,BatchA
LBL104914,BatchA
LBL104915,BatchB
LBL104916,BatchA
LBL104917,BatchA
LBL104918,BatchC
LBL104919,BatchC
LBL104920,BatchA
LBL104921,BatchC
LBL104922,BatchC
LBL104923,BatchB
LBL104924,BatchA
LBL104925,BatchC
LBL104926,BatchC
LBL104927,BatchA
LBL104928,BatchA
LBL104929,BatchC
LBL104930,BatchB
LBL104931,BatchB
LBL104932,BatchC
LBL104933,BatchC
LBL104934,BatchC
LBL104935,BatchB
LBL104936,BatchB
LBL104937,BatchA
LBL104938,BatchA
LBL104939,BatchB
LBL104940,BatchA
LBL104941,BatchC
LBL104942,BatchC
LBL104943,BatchB
LBL104944,BatchC
LBL104945,BatchB
LBL104946,BatchA
LBL104947,BatchC
LBL104948,BatchB
LBL104949,BatchA
LBL104950,BatchA
LBL104951,BatchB
LBL104952,BatchC
LBL104953,BatchA
LBL104954,BatchA
LBL104955,BatchA
LBL104956,BatchA
LBL104957,BatchB
LBL104958,BatchA
LBL104959,BatchA
LBL104960,BatchC
LBL104961,BatchA
LBL104962,BatchA
LBL104963,BatchA
LBL104964,BatchA
LBL104965,BatchB
LBL104966,BatchB
LBL104967,BatchB
LBL104968,BatchB
LBL104969,BatchB
LBL104970,BatchA
LBL104971,BatchA
LBL104972,BatchC
LBL104973,BatchA
LBL104974,BatchA
LBL104975,BatchC
LBL104976,BatchC
LBL104977,BatchA
LBL104978,BatchC
LBL104979,BatchC
LBL104980,BatchA
LBL104981,BatchC
LBL104982,BatchA
LBL104983,BatchB
LBL104984,BatchA
LBL104985,BatchA
LBL104986,BatchC
LBL104987,BatchC
LBL104988,BatchC
LBL104989,BatchB
LBL104990,BatchC
LBL104991,BatchB
LBL104992,BatchC
LBL104993,BatchA
LBL104994,BatchA
LBL104995,BatchB
LBL104996,BatchC
LBL104997,BatchC
LBL104998,BatchA
LBL104999,BatchB
LBL105000,BatchC
LBL105001,BatchB
LBL105002,BatchC
LBL105003,BatchA
LBL105004,BatchA
LBL105005,BatchA
LBL105006,BatchC
LBL105007,BatchA
LBL105008,BatchA
LBL105009,BatchB
LBL105010,BatchA
LBL105011,BatchC
LBL105012,BatchB
LBL105013,BatchB
LBL105014,BatchA
LBL105015,BatchA
LBL105016,BatchA
LBL105017,BatchC
LBL105018,BatchC
LBL105019,BatchC
LBL105020,BatchA
LBL105021,BatchA
LBL105022,BatchB
LBL105023,BatchB
LBL105024,BatchB
LBL105025,BatchA
LBL105026,BatchA
LBL105027,BatchC
LBL105028,BatchA
LBL105029,BatchB
LBL105030,BatchA
LBL105031,BatchC
LBL105032,BatchA
LBL105033,BatchA
LBL105034,BatchB
LBL105035,BatchB
LBL105036,BatchC
LBL105037,BatchA
LBL105038,BatchC
LBL105039,BatchA
LBL105040,BatchC
LBL105041,BatchB
LBL105042,BatchC
LBL105043,BatchB
LBL105044,BatchB
LBL105045,BatchB
LBL105046,BatchA
LBL105047,BatchB
LBL105048,BatchC
LBL105049,BatchA
LBL105050,BatchC
LBL105051,BatchC
LBL105052,BatchA
LBL105053,BatchA
LBL105054,BatchA
LBL105055,BatchA
LBL105056,BatchC
LBL105057,BatchB
LBL105058,BatchA
LBL105059,BatchA
LBL105060,BatchB
LBL105061,BatchB
LBL105062,BatchA
LBL105063,BatchB
LBL105064,BatchB
LBL105065,BatchC
LBL105066,BatchB
LBL105067,BatchA
LBL105068,BatchB
LBL105069,BatchB
LBL105070,BatchC
LBL105071,BatchB
LBL105072,BatchB
LBL105073,BatchA
LBL105074,BatchB
LBL105075,BatchA
LBL105076,BatchC
LBL105077,BatchB
LBL105078,BatchA
LBL105079,BatchB
LBL105080,BatchB
LBL105081,BatchA
LBL105082,BatchB
LBL105083,BatchB
LBL105084,BatchC
LBL105085,BatchC
LBL105086,BatchB
LBL105087,BatchB
LBL105088,BatchB
LBL105089,BatchA
LBL105090,BatchC
LBL105091,BatchB
LBL105092,BatchA
LBL105093,BatchC
LBL105094,BatchA
LBL105095,BatchC
LBL105096,BatchB
LBL105097,BatchA
LBL105098,BatchC
LBL105099,BatchA
LBL105100,BatchA
LBL105101,BatchA
LBL105102,BatchC
LBL105103,BatchA
LBL105104,BatchB
LBL105105,BatchA
LBL105106,BatchB
LBL105107,BatchA
LBL105108,BatchB
LBL105109,BatchA
LBL105110,BatchC
LBL105111,BatchA
LBL105112,BatchC
LBL105113,BatchB
LBL105114,BatchA
LBL105115,BatchC
LBL105116,BatchA
LBL105117,BatchA
LBL105118,BatchA
LBL105119,BatchA
LBL105120,BatchC
LBL105121,BatchB
LBL105122,BatchA
LBL105123,BatchB
LBL105124,BatchB
LBL105125,BatchB
LBL105126,BatchA
LBL105127,BatchC
LBL105128,BatchC
LBL105129,BatchA
LBL105130,BatchA
LBL105131,BatchC
LBL105132,BatchC
LBL105133,BatchC
LBL105134,BatchC
LBL105135,BatchC
LBL105136,BatchA
LBL105137,BatchA
LBL105138,BatchA
LBL105139,BatchC
LBL105140,BatchA
LBL105141,BatchA
LBL105142,BatchC
LBL105143,BatchC
LBL105144,BatchC
LBL105145,BatchA
LBL105146,BatchC
LBL105147,BatchC
LBL105148,BatchB
LBL105149,BatchA
LBL105150,BatchA
LBL105151,BatchA
LBL105152,BatchC
LBL105153,BatchC
LBL105154,BatchA
LBL105155,BatchB
LBL105156,BatchA
LBL105157,BatchA
LBL105158,BatchB
LBL105159,BatchB
LBL105160,BatchA
LBL105161,BatchC
LBL105162,BatchB
LBL105163,BatchB
LBL105164,BatchA
LBL105165,BatchC
LBL105166,BatchC
LBL105167,BatchB
LBL105168,BatchC
LBL105169,BatchC
LBL105170,BatchB
LBL105171,BatchB
LBL105172,BatchB
LBL105173,BatchA
LBL105174,BatchB
LBL105175,BatchA
LBL105176,BatchA
LBL105177,BatchB
LBL105178,BatchC
LBL105179,BatchA
LBL105180,BatchC
LBL105181,BatchA
LBL105182,BatchA
LBL105183,BatchC
LBL105184,BatchA
LBL105185,BatchA
LBL105186,BatchA
LBL105187,BatchB
LBL105188,BatchC
LBL105189,BatchB
LBL105190,BatchB
LBL105191,BatchA
LBL105192,BatchA
LBL105193,BatchA
LBL105194,BatchA
LBL105195,BatchC
LBL105196,BatchB
LBL105197,BatchB
LBL105198,BatchB
LBL105199,BatchC
LBL105200,BatchA
LBL105201,BatchB
LBL105202,BatchA
LBL105203,BatchA
LBL105204,BatchB
LBL105205,BatchC
LBL105206,BatchA
LBL105207,BatchB
LBL105208,BatchC
LBL105209,BatchB
LBL105210,BatchC
LBL105211,BatchA
LBL105212,BatchB
LBL105213,BatchA
LBL105214,BatchB
LBL105215,BatchA
LBL105216,BatchC
LBL105217,BatchA
LBL105218,BatchA
LBL105219,BatchC
LBL105220,BatchC
LBL105221,BatchA
LBL105222,BatchC
LBL105223,BatchA
LBL105224,BatchB
LBL105225,BatchC
LBL105226,BatchB
LBL105227,BatchB
LBL105228,BatchA
LBL105229,BatchB
LBL105230,BatchB
LBL105231,BatchC
LBL105232,BatchC
LBL105233,BatchA
LBL105234,BatchC
LBL105235,BatchB
LBL105236,BatchA
LBL105237,BatchC
LBL105238,BatchB
LBL105239,BatchC
LBL105240,BatchA
LBL105241,BatchA
LBL105242,BatchB
LBL105243,BatchA
LBL105244,BatchA
LBL105245,BatchC
LBL105246,BatchC
LBL105247,BatchC
LBL105248,BatchA
LBL105249,BatchB
LBL105250,BatchA
LBL105251,BatchB
LBL105252,BatchC
LBL105253,BatchB
LBL105254,BatchA
LBL105255,BatchC
LBL105256,BatchA
LBL105257,BatchA
LBL105258,BatchC
LBL105259,BatchB
LBL105260,BatchC
LBL105261,BatchB
LBL105262,BatchB
LBL105263,BatchA
LBL105264,BatchA
LBL105265,BatchB
LBL105266,BatchA
LBL105267,BatchC
LBL105268,BatchB
LBL105269,BatchB
LBL105270,BatchC
LBL105271,BatchA
LBL105272,BatchA
LBL105273,BatchA
LBL105274,BatchA
LBL105275,BatchA
LBL105276,BatchB
LBL105277,BatchA
LBL105278,BatchC
LBL105279,BatchB
LBL105280,BatchB
LBL105281,BatchC
LBL105282,BatchC
LBL105283,BatchB
LBL105284,BatchB
LBL105285,BatchB
LBL105286,BatchB
LBL105287,BatchA
LBL105288,BatchA
LBL105289,BatchC
LBL105290,BatchB
LBL105291,BatchB
LBL105292,BatchA
LBL105293,BatchB
LBL105294,BatchB
LBL105295,BatchC
LBL105296,BatchB
LBL105297,BatchC
LBL105298,BatchB
LBL105299,BatchA
LBL105300,BatchB
LBL105301,BatchC
LBL105302,BatchC
LBL105303,BatchA
LBL105304,BatchB
LBL105305,BatchA
LBL105306,BatchA
LBL105307,BatchC
LBL105308,BatchC
LBL105309,BatchB
LBL105310,BatchA
LBL105311,BatchB
LBL105312,BatchA
LBL105313,BatchB
LBL105314,BatchC
LBL105315,BatchC
LBL105316,BatchA
LBL105317,BatchB
LBL105318,BatchA
LBL105319,BatchA
LBL105320,BatchB
LBL105321,BatchA
LBL105322,BatchB
LBL105323,BatchB
LBL105324,BatchB
LBL105325,BatchC
LBL105326,BatchA
LBL105327,BatchC
LBL105328,BatchC
LBL105329,BatchA
LBL105330,BatchB
LBL105331,BatchA
LBL105332,BatchA
LBL105333,BatchA
LBL105334,BatchA
LBL105335,BatchA
LBL105336,BatchB
LBL105337,BatchB
LBL105338,BatchA
LBL105339,BatchB
LBL105340,BatchB
LBL105341,BatchB
LBL105342,BatchB
LBL105343,BatchB
LBL105344,BatchB
LBL105345,BatchB
LBL105346,BatchA
LBL105347,BatchA
LBL105348,BatchC
LBL105349,BatchB
LBL105350,BatchB
LBL105351,BatchA
LBL105352,BatchA
LBL105353,BatchA
LBL105354,BatchA
LBL105355,BatchB
LBL105356,BatchA
LBL105357,BatchC
LBL105358,BatchA
LBL105359,BatchB
LBL105360,BatchA
LBL105361,BatchC
LBL105362,BatchA
LBL105363,BatchA
LBL105364,BatchB
LBL105365,BatchB
LBL105366,BatchB
LBL105367,BatchA
LBL105368,BatchB
LBL105369,BatchC
LBL105370,BatchA
LBL105371,BatchB
LBL105372,BatchB
LBL105373,BatchB
LBL105374,BatchA
LBL105375,BatchA
LBL105376,BatchC
LBL105377,BatchB
LBL105378,BatchB
LBL105379,BatchB
LBL105380,BatchA
LBL105381,BatchB
LBL105382,BatchC
LBL105383,BatchC
LBL105384,BatchA
LBL105385,BatchB
LBL105386,BatchC
LBL105387,BatchA
LBL105388,BatchC
LBL105389,BatchB
LBL105390,BatchC
LBL105391,BatchC
LBL105392,BatchA
LBL105393,BatchA
LBL105394,BatchB
LBL105395,BatchC
LBL105396,BatchB
LBL105397,BatchA
LBL105398,BatchA
LBL105399,BatchA
LBL105400,BatchA
LBL105401,BatchC
LBL105402,BatchB
LBL105403,BatchA
LBL105404,BatchB
LBL105405,BatchB
LBL105406,BatchC
LBL105407,BatchC
LBL105408,BatchA
LBL105409,BatchC
LBL105410,BatchC
LBL105411,BatchA
LBL105412,BatchC
LBL105413,BatchA
